Scientific Name,Size Est (cm)
Pomacentrus moluccensis,5
Pomacentrus moluccensis,6
Pomacentrus adelus,5
Pomacentrus adelus,7
Pomacentrus adelus,6
Stethojulis strigiventer,8
Pomacentrus vaiuli,5
Pomacentrus vaiuli,7
Plectroglyphidodon dickii,8
Plectroglyphidodon dickii,7
Plectroglyphidodon dickii,5
Plectroglyphidodon dickii,9
Pomacentrus bankanensis,3
Stegastes fasciolatus,9
Chrysiptera rex,4
Pomacentrus coelestis,3
Pomacentrus vaiuli,6
Plectroglyphidodon dickii,6
Halichoeres marginatus,8
Halichoeres marginatus,12
Halichoeres marginatus,7
Halichoeres marginatus,9
Pomacentrus bankanensis,6
Plectroglyphidodon lacrymatus,8
Plectroglyphidodon lacrymatus,7
Pomacentrus coelestis,2
Thalassoma lunare,9
Halichoeres melanurus,5
Acanthochromis polyacanthus,10
Pomacentrus bankanensis,5
Pomacentrus bankanensis,7
Stethojulis strigiventer,13
Zanclus cornutus,11
Pomacentrus adelus,8
Plectroglyphidodon lacrymatus,9
Stegastes fasciolatus,8
